Elapsed time,Accuracy (%),Method
1320,0.3610999999427795,Polaris
1370,0.36706666661024095,Polaris
1420,0.37312727266398343,Polaris
1470,0.3792454545315829,Polaris
1520,0.38069999998612836,Polaris
1570,0.3764272727680206,Polaris
1620,0.38360909082846206,Polaris
1670,0.3830454545723308,Polaris
1720,0.38459090905536303,Polaris
1770,0.38767142855644227,Polaris
1820,0.38989999997456876,Polaris
1870,0.39255454547188495,Polaris
1920,0.3917363636060195,Polaris
1970,0.394629999997139,Polaris
2020,0.395572727208571,Polaris
2070,0.4022999999358437,Polaris
2120,0.39951249998450283,Polaris
2170,0.4038499999475479,Polaris
2220,0.35878181928374553,Polaris
2270,0.40534545449343595,Polaris
2320,0.4107999999479814,Polaris
2370,0.4090500000166893,Polaris
2420,0.4093666666587194,Polaris
2470,0.4098499999976158,Polaris
2520,0.4119333332872391,Polaris
2570,0.41385454554731194,Polaris
2620,0.4059454544648257,Polaris
2670,0.41439999991937115,Polaris
2720,0.41721818179130554,Polaris
2770,0.4157818182000247,Polaris
2820,0.4177272726995295,Polaris
2870,0.4233090908449346,Polaris
2920,0.42354545458446846,Polaris
2970,0.4229583333055178,Polaris
3020,0.42390909094376994,Polaris
3070,0.42138333331505456,Polaris
3120,0.42329999998172124,Polaris
3170,0.4185727273178101,Polaris
3220,0.42448999993228914,Polaris
3270,0.4215181818571958,Polaris
3320,0.4252818181271987,Polaris
3370,0.4290363636086204,Polaris
3420,0.43052727272207086,Polaris
3470,0.43061818182164974,Polaris
3520,0.432327272681323,Polaris
3570,0.43432500004371005,Polaris
3620,0.4305181817878377,Polaris
3670,0.4336999999696558,Polaris
3720,0.43220000001430514,Polaris
3770,0.4360999999499321,Polaris
3820,0.4354181818623976,Polaris
3870,0.43482727269432764,Polaris
3920,0.4370818181774833,Polaris
3970,0.43775454544327475,Polaris
4020,0.43757500005364414,Polaris
4070,0.43529090906489976,Polaris
4120,0.4371181818207827,Polaris
4170,0.43714444443278844,Polaris
4220,0.43851818180170926,Polaris
4270,0.4399,Polaris
4320,0.4399545454493436,Polaris
4370,0.44049999999479816,Polaris
4420,0.4389545454692841,Polaris
4470,0.43896363636190244,Polaris
4520,0.4433636363116178,Polaris
4570,0.44447500000715257,Polaris
4620,0.4434928571544375,Polaris
4670,0.4427333333015442,Polaris
4720,0.44606666663487754,Polaris
4770,0.4451538461670509,Polaris
4820,0.44365000001509985,Polaris
4870,0.4442272726908597,Polaris
4920,0.4451818182364377,Polaris
4970,0.4420499999308586,Polaris
5020,0.44929999993085856,Polaris
5070,0.45075454544067384,Polaris
5120,0.4490181818381223,Polaris
5170,0.44932727271860295,Polaris
5220,0.4525909090501612,Polaris
5270,0.453045454565395,Polaris
5320,0.454636363586079,Polaris
5370,0.45550909096371045,Polaris
5420,0.451718181811246,Polaris
5470,0.452754545432871,Polaris
5520,0.4546727272848649,Polaris
5570,0.4534000000121377,Polaris
